name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
海利生物,生物制药,上海,127.22,30493.4,64400.0,146205.22,84666.05,39725.8,14694.34,0.23,0.111,1.5,12.5,20150515
亿利达,专用机械,浙江,54.68,28320.63,41213.5,163195.38,84416.75,43418.65,11275.12,0.27,0.22699999999999998,2.26,7.32,20120703
中国重汽,汽车整车,山东,34.25,67084.28,67108.07,1787570.25,1568990.63,147002.38,43243.28,0.64,0.337,7.0,2.2,19991125
赞宇科技,日用化工,浙江,59.01,23567.39,41680.0,505255.19,234614.59,197615.69,113352.27,2.72,0.23,4.78,2.99,20111125
天津普林,元器件,天津,0.0,24584.98,24584.98,67490.65,31991.35,21674.32,30227.06,1.23,-0.17800000000000002,1.95,8.56,20070516
ST春天,医疗保健,青海,76.5,20581.01,68561.14,208401.0,174735.8,10773.03,13586.32,0.2,0.129,2.69,4.88,20010508
未名医药,生物制药,山东,49.22,28258.81,65973.56,249081.63,136243.36,41733.73,135471.23,2.05,0.409,3.52,7.63,20110520
宝利国际,化工原料,江苏,121.89,71238.49,92160.0,297409.53,215490.95,51350.84,3251.67,0.04,0.033,1.28,4.21,20101026
凯美特气,环境保护,湖南,478.74,56694.1,56700.0,116767.76,28162.14,67810.78,9877.46,0.17,0.017,1.53,7.08,20110218
永兴特钢,特种钢,浙江,35.67,13785.75,36000.0,332088.53,224990.95,51688.9,82600.57,2.29,0.5710000000000001,8.4,3.24,20150515
黔轮胎Ａ,汽车配件,贵州,500.76,74540.72,77546.42,1026651.13,510607.66,383317.5,183544.38,2.37,0.009000000000000001,4.62,1.31,19960308
华仪电气,电气设备,浙江,234.25,52688.37,75990.35,787532.63,626807.19,64738.36,287092.31,3.78,0.040999999999999995,5.51,2.31,20001106
太极实业,半导体,江苏,202.29,119127.42,119127.42,506275.41,179150.88,249310.16,30518.89,0.26,0.034,1.41,6.46,19930728
东方市场,综合类,江苏,30.19,121823.64,121823.64,472863.19,174488.36,60091.05,63657.85,0.52,0.121,2.72,1.78,20000529
三木集团,综合类,福建,2250.14,46548.53,46551.96,680657.13,413141.0,39430.3,0.0,0.0,0.003,2.64,3.46,19961121
众合科技,专用机械,浙江,0.0,30551.35,32032.39,392990.69,211543.22,25642.76,95752.0,2.99,-0.08199999999999999,3.73,6.71,19990611
明泰铝业,铝,河南,32.76,40770.23,51079.6,596693.0,371378.53,127975.86,218143.47,4.27,0.39299999999999996,7.81,2.2,20110919
奥马电器,家用电器,广东,34.33,12054.54,16535.0,468252.25,286485.97,109340.52,47963.96,2.9,1.643,12.16,6.19,20120416
广生堂,化学制药,福建,113.77,5600.0,14000.0,61892.61,39019.65,10995.67,17525.78,1.25,0.423,3.88,16.54,20150422
厦门钨业,小金属,福建,149.39,88657.39,108157.39,1568585.75,746296.31,535505.31,336534.84,3.11,0.142,6.09,4.63,20021107
山西焦化,焦炭加工,山西,0.0,65683.27,76570.0,1070392.88,473383.94,391640.25,225612.02,2.95,-0.04,2.57,3.69,19960808
天神娱乐,互联网,辽宁,51.06,11722.86,29208.65,609189.44,128698.6,1032.99,368544.31,12.62,1.159,17.72,4.45,20100209
阳泉煤业,煤炭开采,山西,107.96,240500.0,240500.0,3867660.5,1287889.63,1063493.38,0.0,0.0,0.053,5.58,1.36,20030821
利亚德,半导体,北京,63.99,39987.55,81423.07,818345.38,533248.88,59157.07,241139.91,2.96,0.4,5.03,6.33,20120315
中鼎股份,橡胶,安徽,28.11,111372.28,123335.15,1091667.5,641160.31,179042.45,238638.95,1.93,0.68,5.4,4.49,19981203
林州重机,工程机械,河南,367.21,51958.05,80168.29,656001.56,342560.97,158721.19,187527.31,2.34,0.016,3.68,2.09,20110111
浙江永强,家居用品,浙江,70.53,187143.19,217573.66,555667.5,327717.63,101569.36,24905.4,0.11,0.075,1.55,4.59,20101021
锐奇股份,轻工机械,上海,229.12,21047.3,30633.83,133861.66,92332.93,19815.97,47779.94,1.56,0.036000000000000004,3.41,3.24,20101013
永东股份,化工原料,山西,75.86,5692.5,14805.0,100560.53,58343.53,36032.87,34013.06,2.3,0.33399999999999996,6.0,5.63,20150519
*ST冀装,机械基件,河北,44.33,22700.0,22700.0,172117.86,140843.63,8077.81,38870.01,1.71,0.253,1.44,10.38,19980813
南风化工,日用化工,山西,0.0,54874.35,54876.0,295119.69,157056.13,92805.2,62494.98,1.14,-0.166,0.12,59.96,19970428
盛和资源,小金属,山西,0.0,94103.93,94103.93,238127.17,184618.55,20129.03,-54547.82,-0.58,-0.071,1.21,12.5,20030529
抚顺特钢,特种钢,辽宁,53.62,112962.28,130000.0,1260736.13,705136.88,345773.94,16257.42,0.13,0.102,1.54,4.71,20001229
苏奥传感,汽车配件,江苏,102.8,1667.0,6667.0,87552.24,74256.5,9457.57,35759.0,5.36,1.13,11.36,12.16,20160429
江粉磁材,元器件,广东,56.84,51274.69,117721.18,1199659.0,746711.69,151928.77,372777.34,3.17,0.16,4.4,2.44,20110715
东方电缆,电气设备,浙江,134.4,13923.79,31097.0,196370.56,146110.94,31948.84,12050.75,0.39,0.086,2.66,5.82,20141015
陇神戎发,中成药,甘肃,121.26,2167.0,8667.0,89654.86,52319.78,3338.45,41972.87,4.84,0.56,7.98,8.78,20160913
沈阳化工,化工原料,辽宁,18.12,43235.28,81951.43,981320.13,309958.75,550894.31,133632.0,1.63,0.308,5.06,1.47,19970220
城地股份,建筑施工,上海,104.35,2460.0,9810.0,103682.96,93664.15,6564.61,34492.75,3.52,0.67,6.9,10.11,20161010
平煤股份,煤炭开采,河南,100.25,236116.5,236116.5,3916352.75,1402525.88,1877528.0,314058.44,1.33,0.040999999999999995,4.41,1.24,20061123
浪潮信息,电脑设备,山东,51.47,95972.57,99928.27,801082.69,644323.69,27579.2,166988.09,1.67,0.349,4.17,5.75,20000608
酒钢宏兴,普钢,甘肃,28.61,626335.75,626335.75,3789404.75,818761.25,2510161.5,686673.19,1.1,0.07200000000000001,1.52,1.81,20001220
仰帆控股,机械基件,湖北,0.0,19560.0,19560.0,7687.56,2464.7,3849.65,19584.88,1.0,-0.005,0.02,982.26,20040607
恺英网络,互联网,福建,48.0,16131.92,71750.59,369205.94,299537.13,1937.38,219918.22,3.07,0.6,4.54,8.48,20101207
北玻股份,专用机械,河南,227.62,40282.21,72090.0,193018.61,115943.5,57776.96,43691.7,0.61,0.027000000000000003,2.08,4.0,20110830
雄帝科技,元器件,深圳,177.2,1334.0,5334.0,67227.56,62856.9,1003.75,23485.13,4.4,0.81,10.3,13.92,20160928
世名科技,染料涂料,江苏,122.79,1667.0,6667.0,57716.76,40764.71,9781.62,28469.8,4.27,0.92,8.15,15.87,20160705
皖维高新,化纤,安徽,60.54,152011.31,164589.45,844718.81,170060.0,337778.47,59880.88,0.36,0.061,2.27,2.17,19970528
